Id,Nro Víctimas,Año,Mes,Día,Hora,Tipo de calle,Cruce,Lugar del hecho,Comuna,Pos x,Pos y,Participantes,Víctima,Acusado,Rol,Sexo,Edad
2016-0148,1,2016,Noviembre,Miércoles,22,AVENIDA,NO,GARMENDIA AV. 4895,15,-58.46536113,-34.59484504,MOTO-MOTO,MOTO,MOTO,CONDUCTOR,MASCULINO,39
2016-0150,1,2016,Noviembre,Viernes,18,AVENIDA,SI,"ALCORTA, AMANCIO AV. y TABORDA, DIOGENES",4,-58.40879146,-34.65273216,CARGAS-CARGAS,CARGAS,CARGAS,PASAJERO_ACOMPAÑANTE,MASCULINO,41
2016-0151,1,2016,Noviembre,Viernes,20,CALLE,NO,SD,1,0,0,PEATON-SD,PEATON,SD,PEATON,SD,30
2016-0152,1,2016,Noviembre,Miércoles,21,AVENIDA,SI,"MORENO, PERITO AV. y ZUVIRIA",7,-58.46451841,-34.64991946,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,42
2016-0153,1,2016,Noviembre,Viernes,15,AVENIDA,SI,ARAOZ y CORDOBA AV.,15,-58.42917090,-34.59485488,PEATON-MOTO,PEATON,MOTO,PEATON,FEMENINO,83
2016-0154,1,2016,Noviembre,Sábado,14,GRAL PAZ,NO,"PAZ, GRAL. AV. 15200",8,-58.49007772,-34.68251141,MOTO-MOTO,MOTO,MOTO,CONDUCTOR,MASCULINO,38
2016-0155,1,2016,Noviembre,Sábado,16,CALLE,NO,MADERO 900,10,-58.52756365,-34.62772274,PEATON-AUTO,PEATON,AUTO,PEATON,FEMENINO,29
2016-0156,1,2016,Noviembre,Sábado,19,AVENIDA,SI,INDEPENDENCIA AV. y DEAN FUNES,3,-58.40638983,-34.61943202,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,23
2016-0157,1,2016,Diciembre,Sábado,6,AVENIDA,NO,"JUSTO, JUAN B. AV. 5645",11,-58.47576807,-34.61740997,MOTO-MOTO,MOTO,MOTO,CONDUCTOR,MASCULINO,23
2016-0159,1,2016,Diciembre,Domingo,7,AVENIDA,SI,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.44451316,-34.68475866,AUTO-SD,AUTO,SD,CONDUCTOR,MASCULINO,23
2016-0160,1,2016,Diciembre,Martes,5,AUTOPISTA,NO,AUTOPISTA PERITO MORENO (ALTURA VELEZ SARSFIELD),9,-58.51927194,-34.63635787,CARGAS-OBJETO FIJO,CARGAS,CARGAS,CONDUCTOR,MASCULINO,29
2016-0161,1,2016,Diciembre,Martes,7,AVENIDA,SI,SANTA FE AV. y GODOY CRUZ,14,-58.42525456,-34.57866344,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,50
2016-0162,1,2016,Diciembre,Miércoles,5,AVENIDA,SI,"LACROZE, FEDERICO AV. y FOREST AV.",15,-58.45396573,-34.58518167,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,38
2016-0163,1,2016,Diciembre,Sábado,7,GRAL PAZ,SI,"PAZ, GRAL. AV. y MOSCONI GENERAL AV.",11,-58.52340614,-34.59798754,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,23
2016-0164,1,2016,Diciembre,Domingo,6,AVENIDA,SI,"LA PLATA AV. y POMAR, GREGORIO TTE. CNEL.",4,-58.42323628,-34.64119105,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,MASCULINO,29
2016-0165,1,2016,Diciembre,Lunes,8,AVENIDA,NO,"GARCIA, MARTIN AV. 300",4,-58.36926144,-34.62841919,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS,CICLISTA,MASCULINO,37
2016-0168,1,2016,Diciembre,Martes,10,AVENIDA,SI,"LA PLATA AV. y POMAR, GREGORIO TTE. CNEL.",4,-58.42323628,-34.64119105,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,43
2016-0169,1,2016,Diciembre,Jueves,15,AVENIDA,SI,"NUÑEZ y BALBIN, RICARDO, DR. AV.",12,-58.47935434,-34.55676497,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,24
2016-0170,1,2016,Diciembre,Lunes,17,GRAL PAZ,NO,"PAZ, GRAL. AV. 4500",12,-58.50598256,-34.56379980,MOTO-AUTO,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,21
2016-0171,1,2016,Diciembre,Domingo,19,AUTOPISTA,SI,"HUERGO, ING. AV. y AUTOPISTA 25 DE MAYO",1,-58.36607137,-34.62150748,MOTO-MOTO,MOTO,MOTO,CONDUCTOR,SD,30
2016-0172,1,2016,Diciembre,Lunes,8,AVENIDA,SI,"GARAY, JUAN DE AV. y CASTRO",5,-58.41918902,-34.63174259,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,38
2016-0173,1,2016,Diciembre,Lunes,19,AVENIDA,SI,DIRECTORIO AV. y SAN PEDRITO AV.,7,-58.46749188,-34.63551751,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,35
2016-0174,1,2016,Diciembre,Martes,0,AUTOPISTA,NO,AUTOPISTA 25 DE MAYO,1,0,0,SD-SD,MOTO,SD,CONDUCTOR,SD,30
2016-0175,1,2016,Diciembre,Martes,8,CALLE,SI,"FALCON, RAMON L.,CNEL. y MEMBRILLAR",7,-58.46064174,-34.62960517,PEATON-BICICLETA,PEATON,BICICLETA,PEATON,FEMENINO,50
2016-0176,1,2016,Diciembre,Miércoles,1,AVENIDA,SI,BELGRANO AV. y PASEO COLON AV.,1,-58.36956186,-34.61232875,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,28
2016-0177,1,2016,Diciembre,Jueves,4,CALLE,NO,ARENALES 3319,14,-58.40966671,-34.58788235,PEATON-AUTO,PEATON,AUTO,PEATON,FEMENINO,27
2016-0178,1,2016,Diciembre,Viernes,16,CALLE,SI,REPUBLICA BOLIVARIANA DE VENEZUELA y SAAVEDRA,3,-58.40288226,-34.61544091,MULTIPLE,PEATON,MULTIPLE,PEATON,FEMENINO,7
2017-0001,1,2017,Enero,Lunes,1,AVENIDA,SI,"JUSTO, JUAN B. AV. y ACHUPALLAS",11,-58.46594230,-34.61028571,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,18
2017-0003,1,2017,Enero,Jueves,3,AVENIDA,SI,OLAVARRIA y VELEZ SARSFIELD AV.,4,-58.38957669,-34.64410277,CARGAS-CARGAS,CARGAS,CARGAS,PASAJERO_ACOMPAÑANTE,MASCULINO,33
2017-0007,1,2017,Enero,Miércoles,17,CALLE,SI,LIMA y MEXICO,1,-58.38161660,-34.61529543,MULTIPLE,PEATON,MULTIPLE,PEATON,MASCULINO,48
2017-0008,1,2017,Enero,Lunes,0,CALLE,SI,"CABRERA, JOSE A. y BONPLAND",14,-58.43917004,-34.58494351,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,29
2017-0009,1,2017,Enero,Lunes,13,AUTOPISTA,NO,AUTOPISTA 25 DE MAYO y BOEDO AV.,5,-58.41595919,-34.62743346,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,36
2017-0010,1,2017,Enero,Lunes,16,AVENIDA,SI,DIRECTORIO AV. y RIGLOS,6,-58.43564880,-34.62828656,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,23
2017-0011,1,2017,Enero,Domingo,2,GRAL PAZ,SI,"PAZ, GRAL. AV. y BALBIN, RICARDO, DR. AV.",12,-58.50073810,-34.54979510,MOTO-OBJETO FIJO,MOTO,MOTO,PASAJERO_ACOMPAÑANTE,FEMENINO,29
2017-0012,1,2017,Enero,Martes,14,CALLE,SI,"TRAFUL y TABORDA, DIOGENES",4,-58.40969005,-34.65055290,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,30
2017-0013,1,2017,Enero,Viernes,7,AVENIDA,NO,"IRIARTE, GRAL. AV. 3055",4,-58.38972622,-34.65098981,PEATON-CARGAS,PEATON,CARGAS,PEATON,MASCULINO,4
2017-0014,1,2017,Enero,Sábado,8,AVENIDA,SI,DONADO y ARIAS,12,-58.49185972,-34.55046754,MULTIPLE,MOTO,MULTIPLE,PASAJERO_ACOMPAÑANTE,FEMENINO,22
2017-0015,1,2017,Febrero,Jueves,15,AVENIDA,SI,CORDOBA AV. y CALLAO AV.,2,-58.39293417,-34.59963642,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,82
2017-0016,1,2017,Febrero,Viernes,5,AUTOPISTA,NO,AUTOPISTA 25 DE MAYO KM. 8.3,1,-58.38099494,-34.62288231,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,27
2017-0017,1,2017,Febrero,Lunes,8,AVENIDA,SI,"JUSTO, JUAN B. AV. y PARAGUAY",14,-58.42901200,-34.58095431,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,32
2017-0018,1,2017,Febrero,Jueves,7,GRAL PAZ,SI,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,30
2017-0021,1,2017,Febrero,Sábado,5,CALLE,SI,SARMIENTO y LIBERTAD,1,-58.38362373,-34.60509972,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,43
2017-0024,1,2017,Febrero,Jueves,20,AVENIDA,NO,RIVADAVIA AV. 7121,7,-58.46589308,-34.62955795,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,39
2017-0025,1,2017,Febrero,Viernes,17,AVENIDA,SI,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y RIVERA INDARTE AV.",7,-58.43614426,-34.65424640,MOTO-SD,MOTO,SD,CONDUCTOR,MASCULINO,23
2017-0026,2,2017,Febrero,Domingo,5,AVENIDA,SI,"MORENO, PERITO AV. y FOURNIER",4,-58.41842777,-34.64979057,AUTO-OBJETO FIJO,AUTO,AUTO,PASAJERO_ACOMPAÑANTE,FEMENINO,23
2017-0026,2,2017,Febrero,Domingo,5,AVENIDA,SI,"MORENO, PERITO AV. y FOURNIER",4,-58.41842777,-34.64979057,AUTO-OBJETO FIJO,AUTO,AUTO,CONDUCTOR,MASCULINO,19
2017-0027,1,2017,Febrero,Domingo,21,AVENIDA,NO,CASEROS AV. 1429,1,-58.38332245,-34.63193250,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,39
2017-0028,1,2017,Febrero,Martes,9,AVENIDA,SI,GAONA AV. y FRAGATA PRES. SARMIENTO,6,-58.45475488,-34.61196327,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,87
2017-0029,1,2017,Marzo,Martes,2,CALLE,SI,MOZART y TANDIL,9,-58.48501341,-34.64742455,SD-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,34
2017-0030,1,2017,Marzo,Martes,8,AVENIDA,SI,MOZART y AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,9,-58.47010988,-34.65872088,AUTO-PASAJEROS,AUTO,PASAJEROS,CONDUCTOR,FEMENINO,27
2017-0031,1,2017,Marzo,Sábado,1,CALLE,SI,24 DE NOVIEMBRE y PAVON,3,-58.40997560,-34.62873635,AUTO-OBJETO FIJO,AUTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,70
2017-0032,1,2017,Marzo,Domingo,5,GRAL PAZ,SI,"PAZ, GRAL. AV. y LOS CEDROS",8,-58.48892175,-34.68359163,AUTO-AUTO,AUTO,AUTO,PASAJERO_ACOMPAÑANTE,FEMENINO,40
2017-0033,1,2017,Marzo,Domingo,7,GRAL PAZ,SI,"PAZ, GRAL. AV. y GUTIERREZ, RICARDO",11,-58.52466448,-34.60325478,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,MASCULINO,28
2017-0034,1,2017,Marzo,Lunes,7,CALLE,NO,GODOY CRUZ 2651,14,-58.42554218,-34.57929036,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,43
2017-0035,3,2017,Marzo,Jueves,5,AVENIDA,SI,"ACHAVAL RODRIGUEZ, T., DR. AV. y VILLAFLOR, AZUCENA",1,-58.35881506,-34.61113641,AUTO-OBJETO FIJO,AUTO,AUTO,CONDUCTOR,MASCULINO,28
2017-0035,3,2017,Marzo,Jueves,5,AVENIDA,SI,"ACHAVAL RODRIGUEZ, T., DR. AV. y VILLAFLOR, AZUCENA",1,-58.35881506,-34.61113641,AUTO-OBJETO FIJO,AUTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,32
2017-0035,3,2017,Marzo,Jueves,5,AVENIDA,SI,"ACHAVAL RODRIGUEZ, T., DR. AV. y VILLAFLOR, AZUCENA",1,-58.35881506,-34.61113641,AUTO-OBJETO FIJO,AUTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,30
2017-0036,2,2017,Marzo,Miércoles,18,GRAL PAZ,SI,"PAZ, GRAL. AV. y CAMPANA",12,-58.51452347,-34.58159762,MOTO-PASAJEROS,MOTO,PASAJEROS,PASAJERO_ACOMPAÑANTE,FEMENINO,50
2017-0036,2,2017,Marzo,Miércoles,18,GRAL PAZ,SI,"PAZ, GRAL. AV. y CAMPANA",12,-58.51452347,-34.58159762,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,20
2017-0037,1,2017,Marzo,Viernes,3,AVENIDA,SI,"INDEPENDENCIA AV. y CEVALLOS, VIRREY",1,-58.38896772,-34.61799615,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,41
2017-0038,1,2017,Abril,Sábado,19,AVENIDA,SI,CASTAÑARES AV. y LAUTARO,7,-58.44516857,-34.64363363,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,FEMENINO,40
2017-0040,1,2017,Abril,Lunes,9,AVENIDA,NO,"GUIRALDES, INT. 2699",13,-58.43834197,-34.54560369,MULTIPLE,AUTO,MULTIPLE,CONDUCTOR,MASCULINO,43
2017-0041,1,2017,Abril,Lunes,23,CALLE,NO,"FERNANDEZ MORENO, BALDOMERO 2186",7,-58.45485084,-34.63531854,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,17
2017-0042,1,2017,Abril,Lunes,9,GRAL PAZ,NO,"LUGONES, LEOPOLDO AV.",14,0,0,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,39
2017-0045,1,2017,Abril,Viernes,6,CALLE,NO,NOGOYA 5940,10,-58.52449285,-34.62454175,MOTO-OBJETO FIJO,MOTO,MOTO,CONDUCTOR,MASCULINO,21
2017-0047,1,2017,Abril,Domingo,6,AVENIDA,SI,ARGENTINA AV. y CORVALAN,8,-58.46713742,-34.67198790,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,37
2017-0049,1,2017,Abril,Jueves,18,AVENIDA,SI,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y VARELA AV.",8,-58.43850413,-34.65554754,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,22
2017-0050,2,2017,Abril,Viernes,11,AUTOPISTA,NO,AU PERITO MORENO Y RAMAL ENLACE AU1/AU6,9,0,0,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,46
2017-0050,2,2017,Abril,Viernes,11,AUTOPISTA,NO,AU PERITO MORENO Y RAMAL ENLACE AU1/AU6,9,0,0,MOTO-CARGAS,MOTO,CARGAS,PASAJERO_ACOMPAÑANTE,MASCULINO,16
2017-0051,1,2017,Mayo,Lunes,3,AUTOPISTA,NO,AU DELLEPIANE 2400,7,0,0,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,MASCULINO,33
2017-0052,1,2017,Mayo,Viernes,3,GRAL PAZ,SI,"PAZ, GRAL. AV. y GOLETA SANTA CRUZ",8,-58.49413799,-34.68095739,PEATON-CARGAS,PEATON,CARGAS,PEATON,FEMENINO,47
2017-0053,1,2017,Mayo,Viernes,20,CALLE,SI,VIEYTES y VILLARINO,4,-58.37547846,-34.65326075,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,28
2017-0054,1,2017,Mayo,Domingo,21,AVENIDA,SI,"DE LOS CONSTITUYENTES AV. y MORAN, PEDRO",15,-58.48680218,-34.58689719,MOTO-AUTO,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,FEMENINO,20
2017-0055,1,2017,Mayo,Martes,8,AVENIDA,NO,DE LOS CONSTITUYENTES AV. 4900,12,-58.49563989,-34.57962262,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,MASCULINO,32
2017-0058,1,2017,Mayo,Martes,23,AVENIDA,SI,CORDOBA AV. y LIBERTAD,1,-58.38403232,-34.59915940,PEATON-MOTO,PEATON,MOTO,PEATON,MASCULINO,80
2017-0059,1,2017,Mayo,Jueves,9,CALLE,SI,BRASIL y LIMA,1,-58.38223382,-34.62693865,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,FEMENINO,39
2017-0060,1,2017,Mayo,Sábado,7,AVENIDA,SI,"ESCALADA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.45966521,-34.67323292,MOTO-OBJETO FIJO,MOTO,MOTO,PASAJERO_ACOMPAÑANTE,MASCULINO,30
2017-0061,1,2017,Mayo,Lunes,13,AVENIDA,SI,PARAGUAY y CALLAO AV.,2,-58.39303911,-34.59871111,PEATON-MOTO,PEATON,MOTO,PEATON,MASCULINO,47
2017-0062,1,2017,Mayo,Lunes,16,AVENIDA,SI,"JUSTO, JUAN B. AV. y SAN BLAS",10,-58.51262106,-34.63395999,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,35
2017-0063,1,2017,Mayo,Miércoles,10,AVENIDA,SI,CHILE y 9 DE JULIO AV.,1,-58.38118367,-34.61646839,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,FEMENINO,79
2017-0064,1,2017,Mayo,Sábado,5,CALLE,SI,"MAIPU y PERON, JUAN DOMINGO, TTE. GENERAL",1,-58.37653284,-34.60582475,CARGAS-AUTO,CARGAS,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,61
2017-0065,1,2017,Mayo,Lunes,16,AVENIDA,SI,SUAREZ AV. y HERRERA,4,-58.37709334,-34.64035082,BICICLETA-CARGAS,BICICLETA,CARGAS,CICLISTA,MASCULINO,21
2017-0066,1,2017,Mayo,Lunes,18,AVENIDA,SI,SAN MARTIN AV. y FRAGATA PRES. SARMIENTO,15,-58.46002142,-34.60409469,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,10
2017-0067,1,2017,Mayo,Martes,2,AVENIDA,SI,"DIRECTORIO AV. y MORENO, JOSE MARIA AV.",6,-58.43381970,-34.62801894,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,21
2017-0068,1,2017,Mayo,Sábado,19,AVENIDA,NO,"RABANAL, FRANCISCO, INTENDENTE AV. 2950",8,-58.43580656,-34.66437532,MOTO-OBJETO FIJO,MOTO,MOTO,CONDUCTOR,MASCULINO,32
2017-0069,1,2017,Mayo,Miércoles,14,GRAL PAZ,SI,"PAZ, GRAL. AV. y SCHMIDL, ULRICO",9,-58.52173071,-34.65997463,MOTO-SD,MOTO,SD,CONDUCTOR,MASCULINO,39
2017-0070,1,2017,Mayo,Martes,13,CALLE,NO,NUEVA YORK 3696,11,-58.50791763,-34.59804273,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,80
2017-0072,1,2017,Junio,Sábado,23,AVENIDA,SI,DE LOS CONSTITUYENTES AV. y VALLEJOS,12,-58.49175088,-34.58226957,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,MASCULINO,25
2017-0073,1,2017,Junio,Domingo,9,AVENIDA,SI,CORRIENTES AV. y ECUADOR,3,-58.40781467,-34.60425669,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,19
2017-0074,1,2017,Junio,Domingo,12,CALLE,NO,CASCO 133,9,-58.52567073,-34.63787791,SD-SD,MOTO,SD,CONDUCTOR,MASCULINO,70
2017-0075,1,2017,Junio,Lunes,22,AVENIDA,SI,DE MAYO AV. y 9 DE JULIO AV.,1,-58.38154200,-34.60906385,PEATON-MOTO,PEATON,MOTO,PEATON,MASCULINO,55
2017-0076,1,2017,Junio,Martes,14,AVENIDA,SI,"CASTILLO, RAMON S., PRES. AV. y CALLE 12 (NO OFICIAL)",2,-58.38526125,-34.57805810,PEATON-CARGAS,PEATON,CARGAS,PEATON,FEMENINO,30
2017-0077,1,2017,Junio,Sábado,23,CALLE,NO,FRAY JUSTO SANTAMARIA DE ORO 1930,14,-58.42934104,-34.58451712,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,FEMENINO,60
2017-0079,1,2017,Junio,Lunes,16,CALLE,SI,MEXICO y DEAN FUNES,3,-58.40657493,-34.61781124,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,33
2017-0080,1,2017,Junio,Jueves,10,AVENIDA,SI,"ALBERDI, JUAN BAUTISTA AV. y ESCALADA AV.",9,-58.49525314,-34.64487785,PEATON-CARGAS,PEATON,CARGAS,PEATON,FEMENINO,95
2017-0082,1,2017,Junio,Domingo,22,AVENIDA,SI,ENTRE RIOS AV. y BRASIL,4,-58.39092851,-34.62932696,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,36
2017-0083,1,2017,Julio,Martes,0,AVENIDA,SI,"ALBERDI, JUAN BAUTISTA AV. y GUARDIA NACIONAL",9,-58.49603546,-34.64564271,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,37
2017-0084,1,2017,Julio,Miércoles,12,AVENIDA,SI,DEL LIBERTADOR AV. y RODRIGUEZ PEÑA,2,-58.38502878,-34.58703485,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,FEMENINO,73
2017-0085,1,2017,Julio,Viernes,14,AVENIDA,SI,"TACUARI y GARCIA, MARTIN AV.",4,-58.37261143,-34.63150425,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,84
2017-0086,1,2017,Julio,Domingo,7,AVENIDA,SI,RIVADAVIA AV. y MURGUIONDO,9,-58.51876802,-34.63905965,PEATON-MOTO,PEATON,MOTO,PEATON,FEMENINO,30
2017-0087,1,2017,Julio,Lunes,10,CALLE,NO,24 DE NOVIEMBRE 390,3,-58.41095567,-34.61516101,PEATON-AUTO,PEATON,AUTO,PEATON,FEMENINO,73
2017-0088,1,2017,Julio,Lunes,22,AVENIDA,SI,PASEO COLON AV. y BRASIL AV.,1,-58.36797542,-34.62519403,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,43
2017-0089,1,2017,Julio,Jueves,12,CALLE,NO,"LEGUIZAMON, MARTINIANO 901",9,-58.51514709,-34.64787051,SD-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,23
2017-0090,1,2017,Julio,Sábado,5,GRAL PAZ,SI,"CHIVILCOY AV. y PAZ, GRAL. AV.",11,-58.51925642,-34.59171721,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,22
2017-0091,1,2017,Julio,Sábado,13,GRAL PAZ,SI,"SUPERI y PAZ, GRAL. AV.",12,-58.48671535,-34.54321216,MOTO-SD,MOTO,SD,CONDUCTOR,MASCULINO,58
2017-0092,1,2017,Julio,Lunes,22,AUTOPISTA,SI,AUTOPISTA 25 DE MAYO y AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,1,-58.38268809,-34.62282019,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,66
2017-0093,1,2017,Julio,Martes,16,AUTOPISTA,SI,"LUGONES, LEOPOLDO AV. y PUENTE DISTRIBUIDOR SCALABRINI ORTIZ",13,-58.43633522,-34.54966288,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,39
2017-0094,1,2017,Julio,Jueves,8,CALLE,NO,"HUGO, VICTOR 2639",10,-58.52640838,-34.61765855,BICICLETA-CARGAS,BICICLETA,CARGAS,CICLISTA,FEMENINO,56
2017-0095,1,2017,Agosto,Domingo,8,AVENIDA,SI,"CORDOBA AV. y SALGUERO, JERONIMO",14,-58.41894306,-34.59778875,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,36
2017-0096,1,2017,Agosto,Lunes,19,AVENIDA,SI,CABILDO AV. y NUÑEZ,13,-58.46756026,-34.54972741,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,87
2017-0098,1,2017,Agosto,Martes,12,CALLE,NO,"BONIFACIO, JOSE 2114",7,-58.45715752,-34.63132912,PEATON-AUTO,PEATON,AUTO,PEATON,FEMENINO,61
2017-0099,1,2017,Agosto,Jueves,19,AVENIDA,NO,"FIGUEROA ALCORTA, PRES. AV. 5400",14,-58.42406784,-34.56213916,BICICLETA-AUTO,BICICLETA,AUTO,CICLISTA,MASCULINO,28
2017-0100,1,2017,Agosto,Lunes,7,CALLE,NO,REPUBLICA BOLIVARIANA DE VENEZUELA 2135,3,-58.39674470,-34.61512051,MOTO-OBJETO FIJO,MOTO,MOTO,PASAJERO_ACOMPAÑANTE,FEMENINO,16
2017-0101,1,2017,Agosto,Miércoles,10,AVENIDA,SI,"LACROZE, FEDERICO AV. y ZAPATA",13,-58.44537508,-34.57084818,MULTIPLE,PEATON,MULTIPLE,PEATON,FEMENINO,61
2017-0102,1,2017,Agosto,Jueves,1,AVENIDA,SI,"IRIARTE, GRAL. AV. y ZAVALETA",4,-58.40056767,-34.65107080,PEATON-CARGAS,PEATON,CARGAS,PEATON,MASCULINO,46
2017-0104,1,2017,Agosto,Viernes,9,AVENIDA,SI,9 DE JULIO AV. y ESTADOS UNIDOS,1,-58.38109568,-34.61853244,PEATON-CARGAS,PEATON,CARGAS,PEATON,FEMENINO,18
2017-0106,1,2017,Agosto,Jueves,19,CALLE,SI,FRAY JUSTO SANTAMARIA DE ORO y GUEMES,14,-58.42533612,-34.58035258,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,FEMENINO,85
2017-0107,1,2017,Septiembre,Viernes,11,AVENIDA,SI,DEL LIBERTADOR AV. y JARAMILLO,13,-58.46062311,-34.54395182,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,41
2017-0108,2,2017,Septiembre,Sábado,4,GRAL PAZ,SI,"PAZ, GRAL. AV. y MACHAIN",12,-58.49491054,-34.54795581,AUTO-OBJETO FIJO,AUTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,17
2017-0108,2,2017,Septiembre,Sábado,4,GRAL PAZ,SI,"PAZ, GRAL. AV. y MACHAIN",12,-58.49491054,-34.54795581,AUTO-OBJETO FIJO,AUTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,10
2017-0109,1,2017,Septiembre,Lunes,21,AVENIDA,SI,DIRECTORIO AV. y PORTELA,7,-58.47130269,-34.63665402,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,21
2017-0110,1,2017,Septiembre,Miércoles,14,AVENIDA,SI,"LAVALLE y ALEM, LEANDRO N. AV.",1,-58.37048800,-34.60189492,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,56
2017-0111,1,2017,Septiembre,Jueves,18,CALLE,SI,USPALLATA y PIROVANO,4,-58.42023854,-34.64234110,PEATON-CARGAS,PEATON,CARGAS,PEATON,FEMENINO,79
2017-0112,2,2017,Septiembre,Domingo,9,AUTOPISTA,NO,AUTOPISTA 25 DE MAYO y VARELA AV.,7,-58.45807401,-34.63997430,AUTO-OBJETO FIJO,AUTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,1
